time_s,room_c,dock_c,sink_c,t2_c,t3_c,t4_c,t5_c,t6_c,t7_c,tevap_c,tcond_c,q_room_w,q_dock_w,q_dock_external_w,q_useful_w,q_cascade_w,q_cascade_refrigerant_w,q_dock_refrigerant_w,q_evap_total_w,q_evap_load_requested_w,q_map_capacity_balance_error_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,w_dock_fan_w,w_total_input_w,w_ref_isentropic_w,refrigerant_compressor_speed_rpm,refrigerant_compressor_map_capacity_w,refrigerant_compressor_volumetric_efficiency,refrigerant_compressor_suction_density_kg_m3,refrigerant_compressor_displacement_m3_per_rev,refrigerant_evaporating_pressure_pa,refrigerant_condensing_pressure_pa,refrigerant_pressure_ratio,refrigerant_condensing_pressure_from_tcond_pa,refrigerant_pressure_ratio_from_tcond,refrigerant_compressor_eta_is_effective,m_ref_kg_s,m_air_kg_s,air_pressure_ratio,air_damper_opening,air_damper_resistance_head_coefficient,air_compressor_map_mass_flow_kg_s,air_compressor_suction_density_kg_m3,air_compressor_suction_mixture_density_kg_m3,air_compressor_volumetric_flow_m3_s,air_compressor_isentropic_head_j_kg,air_compressor_isentropic_head_m,dock_evaporator_ua_w_k,dock_evaporator_ua_ref_w_k,dock_evaporator_lmtd_k,dock_evaporator_air_inlet_c,dock_evaporator_air_outlet_c,dock_evaporator_air_delta_t_k,dock_air_m_dot_kg_s,dock_fan_m_dot_kg_s,dock_air_flow_ratio,dock_fan_power_w,dock_fan_heat_w,humidity_ratio_room_kg_kg_da,humidity_ratio_supply_vapor_kg_kg_da,humidity_ratio_supply_ice_kg_kg_da,ice_mass_flow_kg_s,valve_flow_kg_s,cascade_valve_flow_kg_s,dock_valve_flow_kg_s,compressor_map_flow_kg_s,m_ref_cascade_kg_s,m_ref_dock_kg_s,valve_opening,cascade_valve_opening,dock_valve_opening,refrigerant_subcooling_k,refrigerant_superheat_k,refrigerant_cascade_superheat_k,refrigerant_dock_superheat_k,refrigerant_raw_superheat_k,refrigerant_raw_cascade_superheat_k,refrigerant_raw_dock_superheat_k,refrigerant_compressor_work_w,refrigerant_compressor_isentropic_work_w,refrigerant_compressor_eta_is_target,cop_system,cop_room_only,base_room_load_w,base_dock_load_w,infiltration_magnitude_w,infiltration_room_w,infiltration_dock_w,infiltration_q_m3_s,infiltration_q_unprotected_m3_s,infiltration_sensible_w,infiltration_latent_w,infiltration_total_w,infiltration_cumulative_volume_m3,infiltration_velocity_m_s,infiltration_region_density_kg_m3,infiltration_indoor_density_kg_m3,infiltration_outdoor_density_kg_m3,infiltration_room_humidity_ratio_kg_kg_da,infiltration_outdoor_humidity_ratio_kg_kg_da,infiltration_stage,infiltration_door_open_fraction,infiltration_effective_length_m,infiltration_effective_volume_m3,infiltration_maximum_effective_length_m,load_w,dock_load_w,startup_initialization_enabled,startup_iterations,startup_newton_iterations,startup_cost,startup_solved_air_cycle_compressor_mass_flow_fixed_m_dot_kg_s,startup_solved_air_cycle_compressor_mass_flow_speed_rpm,startup_solved_air_cycle_regenerator_ua_w_k,startup_solved_boundary_conditions_load_after_w,startup_solved_boundary_conditions_load_before_w,startup_solved_boundary_conditions_sink_m_dot_kg_s,startup_solved_vcc_cycle_cascade_ua_w_k,startup_solved_vcc_cycle_compressor_displacement_m3_per_rev,startup_solved_vcc_cycle_compressor_eta_is,startup_solved_vcc_cycle_condenser_ua_w_k,startup_solved_vcc_cycle_dock_evaporator_ua_w_k,startup_solved_vcc_cycle_expansion_valves_cascade_opening,startup_solved_vcc_cycle_expansion_valves_dock_opening,newton_iterations,pid_B1_air_before_room_to_air_compressor_speed_output,pid_B2_air_after_cascade_to_nh3_compressor_speed_output,pid_B3_cascade_superheat_to_cascade_expansion_valve_output,pid_B3_dock_superheat_to_dock_expansion_valve_output,pid_B4_subcooling_to_sink_flow_output,pid_B5_loading_dock_temperature_to_dock_air_flow_output
0.0,-30.0,5.0,35.0,24.082211963273608,5.0,-26.5,-40.00100473696364,1.5,5.224478627496865e-10,-5.0,40.0,45074.98528984821,20599.999999999996,20599.999999999996,65674.9852898482,82400.20439229712,82400.20439229712,20599.999999999996,103000.20439229712,103000.20439229712,103000.20439229712,127759.29996031552,97513.7937402731,60188.574637824204,41472.46566938767,24759.095568018405,0.0,66231.56123740607,21045.231232815644,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959162575277712,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548399003549832,4.296143414572793,1.2667493207985534,1.0,0.0,4.296143414571803,1.2847212910722052,1.2850212022149787,3.3440275680239635,19293.286252520127,1967.367679331895,3099.015535412006,3099.015535412006,6.647272259401979,5.0,-0.8564321250888405,5.8564321250888405,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.884671179455938e-05,0.0001545856536439964,0.0006641221378900858,0.09548399003549832,0.07638722992384202,0.019096760111656293,0.09548399003549836,0.07638722992384202,0.019096760111656293,0.40218925855223364,0.40218925855223364,0.1005470652321648,0.0,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,24759.095568018405,21045.231232815644,0.85,0.9915965147558151,0.6805665523764053,45074.98528984821,20600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45074.98528984821,20600.0,1.0,807.0,807.0,0.0,4.296143414572793,15617.95112781955,38863.51546622396,45074.98528984821,45074.98528984821,6.112885165565336,4609.824478499044,0.0014959162575277712,0.85,17711.199711561007,3099.015535412006,0.40218925855223364,0.1005470652321648,0.0,,,,,,
1.0,-30.0,5.0,35.0,24.082211963273608,5.0,-26.5,-40.00100473696364,1.5,5.224478627496865e-10,-5.0,40.0,45074.98528984821,20599.999999999996,20599.999999999996,65674.9852898482,82400.20439229712,82400.20439229712,20599.999999999996,103000.20439229712,103000.20439229712,103000.20439229712,127759.29996031552,97513.7937402731,60188.574637824204,41472.46566938767,24759.095568018405,0.0,66231.56123740607,21045.231232815644,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959162575277712,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548399003549832,4.296143414572793,1.2667493207985534,1.0,0.0,4.296143414571803,1.2847212910722052,1.2850212022149787,3.3440275680239635,19293.286252520127,1967.367679331895,3099.015535412006,3099.015535412006,6.647272259401979,5.0,-0.8564321250888405,5.8564321250888405,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.884671179455938e-05,0.0001545856536439964,0.0006641221378900858,0.09548399003551035,0.07638722992384804,0.019096760111662312,0.09548399003549836,0.07638722992384202,0.019096760111656293,0.40218925855226534,0.40218925855226534,0.1005470652321965,0.0,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,24759.095568018405,21045.231232815644,0.85,0.9915965147558151,0.6805665523764053,45074.98528984821,20600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45074.98528984821,20600.0,,,,,,,,,,,,,,,,,,1.0,15617.95112781955,1533.0,0.40218925855226534,0.1005470652321965,6.112885165565336,3.5
2.0,-30.0,5.0,35.0,24.082211963273608,5.0,-26.5,-40.00100473696364,1.5,5.224478627496865e-10,-5.0,40.0,45074.98528984821,20599.999999999996,20599.999999999996,65674.9852898482,82400.20439229712,82400.20439229712,20599.999999999996,103000.20439229712,103000.20439229712,103000.20439229712,127759.29996031552,97513.7937402731,60188.574637824204,41472.46566938767,24759.095568018405,0.0,66231.56123740607,21045.231232815644,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959162575277712,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548399003549832,4.296143414572793,1.2667493207985534,1.0,0.0,4.296143414571803,1.2847212910722052,1.2850212022149787,3.3440275680239635,19293.286252520127,1967.367679331895,3099.015535412006,3099.015535412006,6.647272259401979,5.0,-0.8564321250888405,5.8564321250888405,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.884671179455938e-05,0.0001545856536439964,0.0006641221378900858,0.0954839900355201,0.07638722992385291,0.019096760111667197,0.09548399003549836,0.07638722992384202,0.019096760111656293,0.40218925855229104,0.40218925855229104,0.1005470652322222,0.0,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,24759.095568018405,21045.231232815644,0.85,0.9915965147558151,0.6805665523764053,45074.98528984821,20600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45074.98528984821,20600.0,,,,,,,,,,,,,,,,,,1.0,15617.95112781955,1533.0,0.40218925855229104,0.1005470652322222,6.112885165565336,3.5
3.0,-30.0,5.0,35.0,24.082211963273608,5.0,-26.5,-40.00100473696364,1.5,5.224478627496865e-10,-5.0,40.0,45074.98528984821,20599.999999999996,20599.999999999996,65674.9852898482,82400.20439229712,82400.20439229712,20599.999999999996,103000.20439229712,103000.20439229712,103000.20439229712,127759.29996031552,97513.7937402731,60188.574637824204,41472.46566938767,24759.095568018405,0.0,66231.56123740607,21045.231232815644,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959162575277712,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548399003549832,4.296143414572793,1.2667493207985534,1.0,0.0,4.296143414571803,1.2847212910722052,1.2850212022149787,3.3440275680239635,19293.286252520127,1967.367679331895,3099.015535412006,3099.015535412006,6.647272259401979,5.0,-0.8564321250888405,5.8564321250888405,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.884671179455938e-05,0.0001545856536439964,0.0006641221378900858,0.09548399003552806,0.0763872299238569,0.019096760111671166,0.09548399003549836,0.07638722992384202,0.019096760111656293,0.40218925855231197,0.40218925855231197,0.10054706523224312,0.0,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,24759.095568018405,21045.231232815644,0.85,0.9915965147558151,0.6805665523764053,45074.98528984821,20600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45074.98528984821,20600.0,,,,,,,,,,,,,,,,,,1.0,15617.95112781955,1533.0,0.40218925855231197,0.10054706523224312,6.112885165565336,3.5
4.0,-30.0,5.0,35.0,24.082211963273608,5.0,-26.5,-40.00100473696364,1.5,5.224478627496865e-10,-5.0,40.0,45074.98528984821,20599.999999999996,20599.999999999996,65674.9852898482,82400.20439229712,82400.20439229712,20599.999999999996,103000.20439229712,103000.20439229712,103000.20439229712,127759.29996031552,97513.7937402731,60188.574637824204,41472.46566938767,24759.095568018405,0.0,66231.56123740607,21045.231232815644,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959162575277712,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548399003549832,4.296143414572793,1.2667493207985534,1.0,0.0,4.296143414571803,1.2847212910722052,1.2850212022149787,3.3440275680239635,19293.286252520127,1967.367679331895,3099.015535412006,3099.015535412006,6.647272259401979,5.0,-0.8564321250888405,5.8564321250888405,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.884671179455938e-05,0.0001545856536439964,0.0006641221378900858,0.09548399003553454,0.07638722992386013,0.01909676011167441,0.09548399003549836,0.07638722992384202,0.019096760111656293,0.402189258552329,0.402189258552329,0.1005470652322602,0.0,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,24759.095568018405,21045.231232815644,0.85,0.9915965147558151,0.6805665523764053,45074.98528984821,20600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45074.98528984821,20600.0,,,,,,,,,,,,,,,,,,1.0,15617.95112781955,1533.0,0.402189258552329,0.1005470652322602,6.112885165565336,3.5
5.0,-30.0,5.0,35.0,24.082211963273608,5.0,-26.5,-40.00100473696364,1.5,5.224478627496865e-10,-5.0,40.0,45074.98528984821,20599.999999999996,20599.999999999996,65674.9852898482,82400.20439229712,82400.20439229712,20599.999999999996,103000.20439229712,103000.20439229712,103000.20439229712,127759.29996031552,97513.7937402731,60188.574637824204,41472.46566938767,24759.095568018405,0.0,66231.56123740607,21045.231232815644,1533.0,0.0,0.886918697191838,2.8167516788620213,0.0014959162575277712,354655.9902153604,1554533.227914083,4.383214356453171,1554533.227914083,4.383214356453171,0.85,0.09548399003549832,4.296143414572793,1.2667493207985534,1.0,0.0,4.296143414571803,1.2847212910722052,1.2850212022149787,3.3440275680239635,19293.286252520127,1967.367679331895,3099.015535412006,3099.015535412006,6.647272259401979,5.0,-0.8564321250888405,5.8564321250888405,3.5,3.5,1.0,0.0,0.0,0.0002334323654385558,7.884671179455938e-05,0.0001545856536439964,0.0006641221378900858,0.09548399003553987,0.07638722992386279,0.01909676011167707,0.09548399003549836,0.07638722992384202,0.019096760111656293,0.402189258552343,0.402189258552343,0.1005470652322742,0.0,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,5.000000000522448,24759.095568018405,21045.231232815644,0.85,0.9915965147558151,0.6805665523764053,45074.98528984821,20600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4514952629584368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45074.98528984821,20600.0,,,,,,,,,,,,,,,,,,1.0,15617.95112781955,1533.0,0.402189258552343,0.1005470652322742,6.112885165565336,3.5
6.0,-29.98021888388822,4.967181177327289,34.999942831314094,24.074646038375818,4.988818026233066,-26.483312388980558,-39.985493920370914,1.4919115313252416,-0.15031504898826142,-5.013089414226588,39.9983348573771,45097.646830657584,20559.357418600983,20559.357418600983,65657.00424925856,82415.892521199,82415.892521199,20559.357418600983,102975.24993979998,102975.24993979998,102975.24993979998,127729.27201682465,97516.13703545931,60197.89134491729,41464.71743393558,24754.022077024667,0.0,66218.73951096024,21040.918765470968,1533.0,0.0,0.8868581458349327,2.817199231230352,0.0014959162575277712,354475.08431288385,1554461.4330338845,4.385248785671522,1554461.4330338845,4.385248785671522,0.85,0.09549267288907892,4.296143414572793,1.2667645419528712,1.0,0.0,4.296143414572163,1.2847581340058372,1.2850586718194699,3.34393167154159,19293.749877850118,1967.414955958469,3099.015535412006,3099.015535412006,6.634157584456147,4.967181177327289,-0.8776965536182644,5.844877730945553,3.5,3.5,1.0,0.0,0.0,0.00023391341933223182,7.89852230726337e-05,0.00015492819625959812,0.0006655937500923137,0.09549267288695323,0.07639417620843819,0.019098496678515035,0.0954926415620304,0.07639417621013875,0.019098496678940178,0.40218925855235454,0.40218925855235454,0.10054706523228576,0.0,4.97752499959978,5.013953480302973,4.831868238871039,4.8627743652383515,5.0448836638995544,4.135781517244482,24754.022077024667,21040.918765470968,0.85,0.9915169744116211,0.6810405508125569,45074.98528984821,20600.0,0.0,3978.901302124373,-3978.901302124373,0.07071199609144292,0.3535599804572147,3149.776831750752,829.1244703736212,3978.901302124373,0.03663976624624327,0.5356969400866889,1.4514457744574918,1.4514952629584368,1.2663465782672088,0.0002334323654385558,0.003500620994181557,1.0,0.5,0.7985352382835507,1.4373634289103911,0.7985352382835507,49053.88659197259,16621.098697875626,,,,,,,,,,,,,,,,,,3.0,15617.95112781955,1533.0,0.40218925855235454,0.10054706523228576,6.112885165565336,3.5
7.0,-29.927972291363815,4.880812764120387,34.9996932925362,24.05853095641362,4.961369652519569,-26.439027900148012,-39.94535665316505,1.472425261302792,-0.5801093225009595,-5.046521131566586,39.992617590801125,45161.21948519685,20428.474585346703,20428.474585346703,65589.69407054356,82465.02621561017,82465.02621561017,20428.474585346703,102893.50080095687,102893.50080095687,102893.50080095687,127626.66189807201,97530.92454047462,60227.11781005713,41448.67414490832,24733.161097115142,0.0,66181.83524202346,21023.18693254787,1532.5502361662632,0.0,0.8867086624042648,2.8189568203316893,0.0014959162575277712,354013.3606060452,1554214.9444131008,4.390271999204769,1554214.9444131008,4.390271999204769,0.85,0.09550802393388112,4.296143414572793,1.2668284316780047,1.0,0.0,4.29614341457178,1.2848466631440896,1.2851488598958798,3.3437012663128973,19296.675613341253,1967.7132979499884,3099.015535412006,3099.015535412006,6.591923903547258,4.880812764120387,-0.9433304959079205,5.824143260028308,3.4900996551603987,3.4900996551603987,0.9971713300458281,0.0,0.0,0.00023518839142779062,7.934469293884109e-05,0.00015584369848894953,0.0006695268789659684,0.09550802391945616,0.07640803944033092,0.019099984479125236,0.0955080824836647,0.07640803945187113,0.019099984482009988,0.40219010506347086,0.40219010506347086,0.10053686523875517,0.0,4.887921882525177,5.068766088956238,4.165892713599135,4.466411809065619,5.2244781382241285,1.4594190683282022,24733.161097115142,21023.18693254787,0.85,0.9910528142757832,0.68238088774729,45074.98528984821,20600.0,0.0,10535.734999481454,-10535.734999481454,0.1875404839480981,0.9377024197404907,8342.224973835866,2193.5100256455876,10535.734999481454,0.2030872904240726,0.7103806210155232,1.4512212903556954,1.4513767641624977,1.2665021518682713,0.00023391341933223182,0.0034925716465932784,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,55610.72028932966,10064.265000518546,,,,,,,,,,,,,,,,,,3.0,15618.347409512322,1532.5502361662632,0.40219010506347086,0.10053686523875517,6.112885165565336,3.4900996551603987
8.0,-29.871178733934936,4.787706186528883,34.999186457127244,24.04628185266631,4.933877590890672,-26.390654847348124,-39.90317968474699,1.4533537043040428,-1.0765733550562118,-5.082040794986817,39.98462503840511,45236.829821438725,20252.295135218807,20252.295135218807,65489.12495665753,82531.06089990748,82531.06089990748,20252.295135218807,102783.35603512629,102783.35603512629,102783.35603512629,127485.08472632429,97560.63669754908,60266.40561908108,41438.034531631114,24701.728691198008,0.0,66139.76322282912,20996.469387518307,1531.5502361662632,0.0,0.8865565991044996,2.8213714182890617,0.0014959162575277712,353523.31765275425,1553870.4108669646,4.3953830858569924,1553870.4108669646,4.3953830858569924,0.85,0.09551111701003112,4.296143414572793,1.2669362479588018,1.0,0.0,4.296143414573319,1.2849330201674796,1.2852370274817457,3.343476544802957,19302.55421912234,1968.3127489124563,3099.015535412006,3099.015535412006,6.535073769007847,4.787706186528883,-1.029728223454705,5.817434409983588,3.4639904858051955,3.4639904858051955,0.989711567372913,0.0,0.0,0.00023658158315332094,7.97240595975805e-05,0.00015685752355574042,0.000673882416850191,0.09551111700976561,0.07641806521355218,0.01909305179621343,0.09551113534838536,0.07641806521376461,0.019093051796266504,0.4021941168729424,0.4021941168729424,0.10048819064089012,0.0,4.724701998615103,5.170194432467667,2.9503893475658174,4.005467439930612,5.508545916637161,3.410605131648481e-13,24701.728691198008,20996.469387518307,0.85,0.9901626762106851,0.6839581458589885,45074.98528984821,20600.0,0.0,11520.49417576173,-11520.49417576173,0.20594457577033948,1.0297228788516977,9127.495494513429,2392.9986812483016,11520.49417576173,0.4008536212700798,0.7800930900391649,1.4509556095372615,1.4510638697132823,1.266911686953635,0.00023518839142779062,0.00347146707803699,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,56595.47946560994,9079.50582423827,,,,,,,,,,,,,,,,,,3.0,15619.394742286431,1531.5502361662632,0.4021941168729424,0.10048819064089012,6.112885165565336,3.4639904858051955
9.0,-29.813254556679208,4.6936061240001505,34.99842402576487,24.03518526060509,4.907050403171513,-26.341197577271156,-39.86015858883036,1.434993423762226,-1.5373665318126655,-5.117150347278328,39.97616797954566,45314.000919999635,20068.42446064203,20068.42446064203,65382.42538064167,82599.20691784911,82599.20691784911,20068.42446064203,102667.63137849113,102667.63137849113,102667.63137849113,127337.84380383225,97592.2606117717,60307.054613916924,41428.00666428308,24670.212425341124,0.0,66098.21908962421,20969.680561539953,1530.5502361662632,0.0,0.8864081222470337,2.823383137616896,0.0014959162575277712,353039.45610326726,1553505.9167789372,4.400374773760479,1553505.9167789372,4.400374773760479,0.85,0.09550088554618741,4.296143414572793,1.2670489309867845,1.0,0.0,4.296143414571838,1.2850159870754643,1.2853218500877186,3.3432606736280985,19308.811069626456,1968.950770102579,3099.015535412006,3099.015535412006,6.475741806171354,4.6936061240001505,-1.118471268411862,5.812077392412013,3.4357046895052923,3.4357046895052923,0.9816299112872263,0.0,0.0,0.00023801033809465314,8.011274579719136e-05,0.00015789759229746178,0.0006783507013256401,0.09550088550316499,0.07642745238243237,0.019073433120732616,0.0955008339230315,0.07642745241686234,0.019073433129325062,0.4022035254840853,0.4022035254840853,0.10037495435353445,0.0,4.5088859292459915,5.310680875222317,1.324748752500284,3.579783815465646,5.806255575802709,3.979039320256561e-13,24670.212425341124,20969.680561539953,0.85,0.9891707565068889,0.6855555496670381,45074.98528984821,20600.0,0.0,11823.58304280572,-11823.58304280572,0.21234084890643595,1.06170424453218,9373.718738601878,2449.8643042038425,11823.58304280572,0.6103866385543697,0.8043213973728637,1.450675316068948,1.4507238904509951,1.2673533617159778,0.00023658158315332094,0.003448843237980979,1.0,1.0,1.1691825994216538,4.2090573579179535,1.1691825994216538,56898.56833265393,8776.41695719428,,,,,,,,,,,,,,,,,,3.0,15620.534907477211,1530.5502361662632,0.4022035254840853,0.10037495435353445,6.112885165565336,3.4357046895052923
